year,building-type,benchmark-target,building-type-shorthand,unit,construction-delivery-type
2028,Culture & Enterainment - Performance,122.0,C&E Perfor.,kWh/m²GIA/yr,retrofit-in-one-go
2029,Culture & Enterainment - Performance,120.0,C&E Perfor.,kWh/m²GIA/yr,retrofit-in-one-go
2030,Culture & Enterainment - Performance,117.0,C&E Perfor.,kWh/m²GIA/yr,retrofit-in-one-go
2031,Culture & Enterainment - Performance,114.0,C&E Perfor.,kWh/m²GIA/yr,retrofit-in-one-go
2032,Culture & Enterainment - Performance,112.0,C&E Perfor.,kWh/m²GIA/yr,retrofit-in-one-go
2033,Culture & Enterainment - Performance,109.0,C&E Perfor.,kWh/m²GIA/yr,retrofit-in-one-go
2034,Culture & Enterainment - Performance,106.0,C&E Perfor.,kWh/m²GIA/yr,retrofit-in-one-go
2035,Culture & Enterainment - Performance,104.0,C&E Perfor.,kWh/m²GIA/yr,retrofit-in-one-go
2036,Culture & Enterainment - Performance,101.0,C&E Perfor.,kWh/m²GIA/yr,retrofit-in-one-go
2037,Culture & Enterainment - Performance,98.0,C&E Perfor.,kWh/m²GIA/yr,retrofit-in-one-go
2038,Culture & Enterainment - Performance,96.0,C&E Perfor.,kWh/m²GIA/yr,retrofit-in-one-go
2039,Culture & Enterainment - Performance,93.0,C&E Perfor.,kWh/m²GIA/yr,retrofit-in-one-go
2040,Culture & Enterainment - Performance,90.0,C&E Perfor.,kWh/m²GIA/yr,retrofit-in-one-go
2050,Culture & Enterainment - Performance,90.0,C&E Perfor.,kWh/m²GIA/yr,retrofit-in-one-go
2025,Culture & Enterainment - Collection (e.g. museum),100.0,C&E Collec.,kWh/m²GIA/yr,retrofit-in-one-go
2026,Culture & Enterainment - Collection (e.g. museum),98.0,C&E Collec.,kWh/m²GIA/yr,retrofit-in-one-go
2027,Culture & Enterainment - Collection (e.g. museum),96.0,C&E Collec.,kWh/m²GIA/yr,retrofit-in-one-go
2028,Culture & Enterainment - Collection (e.g. museum),93.0,C&E Collec.,kWh/m²GIA/yr,retrofit-in-one-go
2029,Culture & Enterainment - Collection (e.g. museum),91.0,C&E Collec.,kWh/m²GIA/yr,retrofit-in-one-go
2030,Culture & Enterainment - Collection (e.g. museum),89.0,C&E Collec.,kWh/m²GIA/yr,retrofit-in-one-go
2031,Culture & Enterainment - Collection (e.g. museum),86.0,C&E Collec.,kWh/m²GIA/yr,retrofit-in-one-go
2032,Culture & Enterainment - Collection (e.g. museum),84.0,C&E Collec.,kWh/m²GIA/yr,retrofit-in-one-go
2033,Culture & Enterainment - Collection (e.g. museum),82.0,C&E Collec.,kWh/m²GIA/yr,retrofit-in-one-go
2034,Culture & Enterainment - Collection (e.g. museum),79.0,C&E Collec.,kWh/m²GIA/yr,retrofit-in-one-go
2035,Culture & Enterainment - Collection (e.g. museum),77.0,C&E Collec.,kWh/m²GIA/yr,retrofit-in-one-go
2036,Culture & Enterainment - Collection (e.g. museum),75.0,C&E Collec.,kWh/m²GIA/yr,retrofit-in-one-go
2037,Culture & Enterainment - Collection (e.g. museum),72.0,C&E Collec.,kWh/m²GIA/yr,retrofit-in-one-go
2038,Culture & Enterainment - Collection (e.g. museum),70.0,C&E Collec.,kWh/m²GIA/yr,retrofit-in-one-go
2039,Culture & Enterainment - Collection (e.g. museum),68.0,C&E Collec.,kWh/m²GIA/yr,retrofit-in-one-go
2040,Culture & Enterainment - Collection (e.g. museum),65.0,C&E Collec.,kWh/m²GIA/yr,retrofit-in-one-go
2050,Culture & Enterainment - Collection (e.g. museum),65.0,C&E Collec.,kWh/m²GIA/yr,retrofit-in-one-go
2025,Culture & Enterainment - Archive,10.0,C&E Arch.,kWh/m²GIA/yr,retrofit-in-one-go
2026,Culture & Enterainment - Archive,10.0,C&E Arch.,kWh/m²GIA/yr,retrofit-in-one-go
2027,Culture & Enterainment - Archive,10.0,C&E Arch.,kWh/m²GIA/yr,retrofit-in-one-go
2028,Culture & Enterainment - Archive,10.0,C&E Arch.,kWh/m²GIA/yr,retrofit-in-one-go
2029,Culture & Enterainment - Archive,10.0,C&E Arch.,kWh/m²GIA/yr,retrofit-in-one-go
2030,Culture & Enterainment - Archive,9.0,C&E Arch.,kWh/m²GIA/yr,retrofit-in-one-go
2031,Culture & Enterainment - Archive,9.0,C&E Arch.,kWh/m²GIA/yr,retrofit-in-one-go
2032,Culture & Enterainment - Archive,9.0,C&E Arch.,kWh/m²GIA/yr,retrofit-in-one-go
2033,Culture & Enterainment - Archive,9.0,C&E Arch.,kWh/m²GIA/yr,retrofit-in-one-go
2034,Culture & Enterainment - Archive,9.0,C&E Arch.,kWh/m²GIA/yr,retrofit-in-one-go
2035,Culture & Enterainment - Archive,8.0,C&E Arch.,kWh/m²GIA/yr,retrofit-in-one-go
2036,Culture & Enterainment - Archive,8.0,C&E Arch.,kWh/m²GIA/yr,retrofit-in-one-go
2037,Culture & Enterainment - Archive,8.0,C&E Arch.,kWh/m²GIA/yr,retrofit-in-one-go
2038,Culture & Enterainment - Archive,8.0,C&E Arch.,kWh/m²GIA/yr,retrofit-in-one-go
2039,Culture & Enterainment - Archive,8.0,C&E Arch.,kWh/m²GIA/yr,retrofit-in-one-go
2040,Culture & Enterainment - Archive,7.0,C&E Arch.,kWh/m²GIA/yr,retrofit-in-one-go
2050,Culture & Enterainment - Archive,7.0,C&E Arch.,kWh/m²GIA/yr,retrofit-in-one-go
2025,Data Centre - Low utilisation,1.4,Data Centre,PUE,retrofit-in-one-go
2026,Data Centre - Low utilisation,1.4,Data Centre,PUE,retrofit-in-one-go
2027,Data Centre - Low utilisation,1.39,Data Centre,PUE,retrofit-in-one-go
2028,Data Centre - Low utilisation,1.38,Data Centre,PUE,retrofit-in-one-go
2029,Data Centre - Low utilisation,1.38,Data Centre,PUE,retrofit-in-one-go
2030,Data Centre - Low utilisation,1.37,Data Centre,PUE,retrofit-in-one-go
2031,Data Centre - Low utilisation,1.36,Data Centre,PUE,retrofit-in-one-go
2032,Data Centre - Low utilisation,1.36,Data Centre,PUE,retrofit-in-one-go
2033,Data Centre - Low utilisation,1.35,Data Centre,PUE,retrofit-in-one-go
2034,Data Centre - Low utilisation,1.34,Data Centre,PUE,retrofit-in-one-go
2035,Data Centre - Low utilisation,1.34,Data Centre,PUE,retrofit-in-one-go
2036,Data Centre - Low utilisation,1.33,Data Centre,PUE,retrofit-in-one-go
2037,Data Centre - Low utilisation,1.32,Data Centre,PUE,retrofit-in-one-go
2038,Data Centre - Low utilisation,1.32,Data Centre,PUE,retrofit-in-one-go
2039,Data Centre - Low utilisation,1.31,Data Centre,PUE,retrofit-in-one-go
2040,Data Centre - Low utilisation,1.3,Data Centre,PUE,retrofit-in-one-go
2050,Data Centre - Low utilisation,1.3,Data Centre,PUE,retrofit-in-one-go
2025,Data Centre - High utilisation,1.2,Data Centre.1,PUE,retrofit-in-one-go
2026,Data Centre - High utilisation,1.2,Data Centre.1,PUE,retrofit-in-one-go
2027,Data Centre - High utilisation,1.19,Data Centre.1,PUE,retrofit-in-one-go
2028,Data Centre - High utilisation,1.18,Data Centre.1,PUE,retrofit-in-one-go
2029,Data Centre - High utilisation,1.18,Data Centre.1,PUE,retrofit-in-one-go
2030,Data Centre - High utilisation,1.17,Data Centre.1,PUE,retrofit-in-one-go
2031,Data Centre - High utilisation,1.16,Data Centre.1,PUE,retrofit-in-one-go
2032,Data Centre - High utilisation,1.16,Data Centre.1,PUE,retrofit-in-one-go
2033,Data Centre - High utilisation,1.15,Data Centre.1,PUE,retrofit-in-one-go
2034,Data Centre - High utilisation,1.14,Data Centre.1,PUE,retrofit-in-one-go
2035,Data Centre - High utilisation,1.14,Data Centre.1,PUE,retrofit-in-one-go
2036,Data Centre - High utilisation,1.13,Data Centre.1,PUE,retrofit-in-one-go
2037,Data Centre - High utilisation,1.12,Data Centre.1,PUE,retrofit-in-one-go
2038,Data Centre - High utilisation,1.12,Data Centre.1,PUE,retrofit-in-one-go
2039,Data Centre - High utilisation,1.11,Data Centre.1,PUE,retrofit-in-one-go
2040,Data Centre - High utilisation,1.1,Data Centre.1,PUE,retrofit-in-one-go
2050,Data Centre - High utilisation,1.1,Data Centre.1,PUE,retrofit-in-one-go
2025,Healthcare - Acute Trust,258.0,Health. Acute,kWh/m²GIA/yr,retrofit-in-one-go
2026,Healthcare - Acute Trust,259.0,Health. Acute,kWh/m²GIA/yr,retrofit-in-one-go
2027,Healthcare - Acute Trust,259.0,Health. Acute,kWh/m²GIA/yr,retrofit-in-one-go
2028,Healthcare - Acute Trust,259.0,Health. Acute,kWh/m²GIA/yr,retrofit-in-one-go
2029,Healthcare - Acute Trust,259.0,Health. Acute,kWh/m²GIA/yr,retrofit-in-one-go
2030,Healthcare - Acute Trust,259.0,Health. Acute,kWh/m²GIA/yr,retrofit-in-one-go
2031,Healthcare - Acute Trust,259.0,Health. Acute,kWh/m²GIA/yr,retrofit-in-one-go
2032,Healthcare - Acute Trust,259.0,Health. Acute,kWh/m²GIA/yr,retrofit-in-one-go
2033,Healthcare - Acute Trust,259.0,Health. Acute,kWh/m²GIA/yr,retrofit-in-one-go
2034,Healthcare - Acute Trust,259.0,Health. Acute,kWh/m²GIA/yr,retrofit-in-one-go
2035,Healthcare - Acute Trust,259.0,Health. Acute,kWh/m²GIA/yr,retrofit-in-one-go
2036,Healthcare - Acute Trust,259.0,Health. Acute,kWh/m²GIA/yr,retrofit-in-one-go
2037,Healthcare - Acute Trust,259.0,Health. Acute,kWh/m²GIA/yr,retrofit-in-one-go
2038,Healthcare - Acute Trust,259.0,Health. Acute,kWh/m²GIA/yr,retrofit-in-one-go
2039,Healthcare - Acute Trust,259.0,Health. Acute,kWh/m²GIA/yr,retrofit-in-one-go
2040,Healthcare - Acute Trust,258.0,Health. Acute,kWh/m²GIA/yr,retrofit-in-one-go
2050,Healthcare - Acute Trust,258.0,Health. Acute,kWh/m²GIA/yr,retrofit-in-one-go
2025,Healthcare - Care Trust,140.0,Health. Care,kWh/m²GIA/yr,retrofit-in-one-go
2026,Healthcare - Care Trust,140.0,Health. Care,kWh/m²GIA/yr,retrofit-in-one-go
2027,Healthcare - Care Trust,140.0,Health. Care,kWh/m²GIA/yr,retrofit-in-one-go
2028,Healthcare - Care Trust,140.0,Health. Care,kWh/m²GIA/yr,retrofit-in-one-go
2029,Healthcare - Care Trust,140.0,Health. Care,kWh/m²GIA/yr,retrofit-in-one-go
2030,Healthcare - Care Trust,140.0,Health. Care,kWh/m²GIA/yr,retrofit-in-one-go
2031,Healthcare - Care Trust,140.0,Health. Care,kWh/m²GIA/yr,retrofit-in-one-go
2032,Healthcare - Care Trust,140.0,Health. Care,kWh/m²GIA/yr,retrofit-in-one-go
2033,Healthcare - Care Trust,140.0,Health. Care,kWh/m²GIA/yr,retrofit-in-one-go
2034,Healthcare - Care Trust,140.0,Health. Care,kWh/m²GIA/yr,retrofit-in-one-go
2035,Healthcare - Care Trust,140.0,Health. Care,kWh/m²GIA/yr,retrofit-in-one-go
2036,Healthcare - Care Trust,140.0,Health. Care,kWh/m²GIA/yr,retrofit-in-one-go
2037,Healthcare - Care Trust,140.0,Health. Care,kWh/m²GIA/yr,retrofit-in-one-go
2038,Healthcare - Care Trust,140.0,Health. Care,kWh/m²GIA/yr,retrofit-in-one-go
2039,Healthcare - Care Trust,140.0,Health. Care,kWh/m²GIA/yr,retrofit-in-one-go
2040,Healthcare - Care Trust,140.0,Health. Care,kWh/m²GIA/yr,retrofit-in-one-go
2050,Healthcare - Care Trust,140.0,Health. Care,kWh/m²GIA/yr,retrofit-in-one-go
2025,Healthcare - Community Trust,162.0,Health. Comm.,kWh/m²GIA/yr,retrofit-in-one-go
2026,Healthcare - Community Trust,163.0,Health. Comm.,kWh/m²GIA/yr,retrofit-in-one-go
2027,Healthcare - Community Trust,163.0,Health. Comm.,kWh/m²GIA/yr,retrofit-in-one-go
2028,Healthcare - Community Trust,163.0,Health. Comm.,kWh/m²GIA/yr,retrofit-in-one-go
2029,Healthcare - Community Trust,163.0,Health. Comm.,kWh/m²GIA/yr,retrofit-in-one-go
2030,Healthcare - Community Trust,163.0,Health. Comm.,kWh/m²GIA/yr,retrofit-in-one-go
2031,Healthcare - Community Trust,163.0,Health. Comm.,kWh/m²GIA/yr,retrofit-in-one-go
2032,Healthcare - Community Trust,163.0,Health. Comm.,kWh/m²GIA/yr,retrofit-in-one-go
2033,Healthcare - Community Trust,163.0,Health. Comm.,kWh/m²GIA/yr,retrofit-in-one-go
2034,Healthcare - Community Trust,163.0,Health. Comm.,kWh/m²GIA/yr,retrofit-in-one-go
2035,Healthcare - Community Trust,163.0,Health. Comm.,kWh/m²GIA/yr,retrofit-in-one-go
2036,Healthcare - Community Trust,163.0,Health. Comm.,kWh/m²GIA/yr,retrofit-in-one-go
2037,Healthcare - Community Trust,163.0,Health. Comm.,kWh/m²GIA/yr,retrofit-in-one-go
2038,Healthcare - Community Trust,163.0,Health. Comm.,kWh/m²GIA/yr,retrofit-in-one-go
2039,Healthcare - Community Trust,163.0,Health. Comm.,kWh/m²GIA/yr,retrofit-in-one-go
2040,Healthcare - Community Trust,162.0,Health. Comm.,kWh/m²GIA/yr,retrofit-in-one-go
2050,Healthcare - Community Trust,162.0,Health. Comm.,kWh/m²GIA/yr,retrofit-in-one-go
2025,Healthcare - Mental Health & Learning Trust,166.0,Health. MH & L. .,kWh/m²GIA/yr,retrofit-in-one-go
2026,Healthcare - Mental Health & Learning Trust,167.0,Health. MH & L. .,kWh/m²GIA/yr,retrofit-in-one-go
2027,Healthcare - Mental Health & Learning Trust,167.0,Health. MH & L. .,kWh/m²GIA/yr,retrofit-in-one-go
2028,Healthcare - Mental Health & Learning Trust,167.0,Health. MH & L. .,kWh/m²GIA/yr,retrofit-in-one-go
2029,Healthcare - Mental Health & Learning Trust,167.0,Health. MH & L. .,kWh/m²GIA/yr,retrofit-in-one-go
2030,Healthcare - Mental Health & Learning Trust,167.0,Health. MH & L. .,kWh/m²GIA/yr,retrofit-in-one-go
2031,Healthcare - Mental Health & Learning Trust,167.0,Health. MH & L. .,kWh/m²GIA/yr,retrofit-in-one-go
2032,Healthcare - Mental Health & Learning Trust,167.0,Health. MH & L. .,kWh/m²GIA/yr,retrofit-in-one-go
2033,Healthcare - Mental Health & Learning Trust,167.0,Health. MH & L. .,kWh/m²GIA/yr,retrofit-in-one-go
2034,Healthcare - Mental Health & Learning Trust,167.0,Health. MH & L. .,kWh/m²GIA/yr,retrofit-in-one-go
2035,Healthcare - Mental Health & Learning Trust,167.0,Health. MH & L. .,kWh/m²GIA/yr,retrofit-in-one-go
2036,Healthcare - Mental Health & Learning Trust,167.0,Health. MH & L. .,kWh/m²GIA/yr,retrofit-in-one-go
2037,Healthcare - Mental Health & Learning Trust,167.0,Health. MH & L. .,kWh/m²GIA/yr,retrofit-in-one-go
2038,Healthcare - Mental Health & Learning Trust,167.0,Health. MH & L. .,kWh/m²GIA/yr,retrofit-in-one-go
2039,Healthcare - Mental Health & Learning Trust,167.0,Health. MH & L. .,kWh/m²GIA/yr,retrofit-in-one-go
2040,Healthcare - Mental Health & Learning Trust,166.0,Health. MH & L. .,kWh/m²GIA/yr,retrofit-in-one-go
2050,Healthcare - Mental Health & Learning Trust,166.0,Health. MH & L. .,kWh/m²GIA/yr,retrofit-in-one-go
2025,Healthcare - Ambulance Trust,182.0,Health. Amb.,kWh/m²GIA/yr,retrofit-in-one-go
2026,Healthcare - Ambulance Trust,182.0,Health. Amb.,kWh/m²GIA/yr,retrofit-in-one-go
2027,Healthcare - Ambulance Trust,182.0,Health. Amb.,kWh/m²GIA/yr,retrofit-in-one-go
2028,Healthcare - Ambulance Trust,182.0,Health. Amb.,kWh/m²GIA/yr,retrofit-in-one-go
2029,Healthcare - Ambulance Trust,182.0,Health. Amb.,kWh/m²GIA/yr,retrofit-in-one-go
2030,Healthcare - Ambulance Trust,182.0,Health. Amb.,kWh/m²GIA/yr,retrofit-in-one-go
2031,Healthcare - Ambulance Trust,182.0,Health. Amb.,kWh/m²GIA/yr,retrofit-in-one-go
2032,Healthcare - Ambulance Trust,182.0,Health. Amb.,kWh/m²GIA/yr,retrofit-in-one-go
2033,Healthcare - Ambulance Trust,182.0,Health. Amb.,kWh/m²GIA/yr,retrofit-in-one-go
2034,Healthcare - Ambulance Trust,182.0,Health. Amb.,kWh/m²GIA/yr,retrofit-in-one-go
2035,Healthcare - Ambulance Trust,182.0,Health. Amb.,kWh/m²GIA/yr,retrofit-in-one-go
2036,Healthcare - Ambulance Trust,182.0,Health. Amb.,kWh/m²GIA/yr,retrofit-in-one-go
2037,Healthcare - Ambulance Trust,182.0,Health. Amb.,kWh/m²GIA/yr,retrofit-in-one-go
2038,Healthcare - Ambulance Trust,182.0,Health. Amb.,kWh/m²GIA/yr,retrofit-in-one-go
2039,Healthcare - Ambulance Trust,182.0,Health. Amb.,kWh/m²GIA/yr,retrofit-in-one-go
2040,Healthcare - Ambulance Trust,182.0,Health. Amb.,kWh/m²GIA/yr,retrofit-in-one-go
2050,Healthcare - Ambulance Trust,182.0,Health. Amb.,kWh/m²GIA/yr,retrofit-in-one-go
2025,Higher Education,130.0,High. Ed.,kWh/m²GIA/yr,retrofit-in-one-go
2026,Higher Education,127.0,High. Ed.,kWh/m²GIA/yr,retrofit-in-one-go
2027,Higher Education,123.0,High. Ed.,kWh/m²GIA/yr,retrofit-in-one-go
2028,Higher Education,119.0,High. Ed.,kWh/m²GIA/yr,retrofit-in-one-go
2029,Higher Education,116.0,High. Ed.,kWh/m²GIA/yr,retrofit-in-one-go
2030,Higher Education,112.0,High. Ed.,kWh/m²GIA/yr,retrofit-in-one-go
2031,Higher Education,108.0,High. Ed.,kWh/m²GIA/yr,retrofit-in-one-go
2032,Higher Education,105.0,High. Ed.,kWh/m²GIA/yr,retrofit-in-one-go
2033,Higher Education,101.0,High. Ed.,kWh/m²GIA/yr,retrofit-in-one-go
2034,Higher Education,97.0,High. Ed.,kWh/m²GIA/yr,retrofit-in-one-go
2035,Higher Education,94.0,High. Ed.,kWh/m²GIA/yr,retrofit-in-one-go
2036,Higher Education,90.0,High. Ed.,kWh/m²GIA/yr,retrofit-in-one-go
2037,Higher Education,86.0,High. Ed.,kWh/m²GIA/yr,retrofit-in-one-go
2038,Higher Education,83.0,High. Ed.,kWh/m²GIA/yr,retrofit-in-one-go
2039,Higher Education,79.0,High. Ed.,kWh/m²GIA/yr,retrofit-in-one-go
2040,Higher Education,75.0,High. Ed.,kWh/m²GIA/yr,retrofit-in-one-go
2050,Higher Education,75.0,High. Ed.,kWh/m²GIA/yr,retrofit-in-one-go
2025,Homes - Single family homes,75.0,Home S.F.,kWh/m²GIA/yr,retrofit-in-one-go
2026,Homes - Single family homes,74.0,Home S.F.,kWh/m²GIA/yr,retrofit-in-one-go
2027,Homes - Single family homes,73.0,Home S.F.,kWh/m²GIA/yr,retrofit-in-one-go
2028,Homes - Single family homes,72.0,Home S.F.,kWh/m²GIA/yr,retrofit-in-one-go
2029,Homes - Single family homes,71.0,Home S.F.,kWh/m²GIA/yr,retrofit-in-one-go
2030,Homes - Single family homes,70.0,Home S.F.,kWh/m²GIA/yr,retrofit-in-one-go
2031,Homes - Single family homes,69.0,Home S.F.,kWh/m²GIA/yr,retrofit-in-one-go
2032,Homes - Single family homes,68.0,Home S.F.,kWh/m²GIA/yr,retrofit-in-one-go
2033,Homes - Single family homes,66.0,Home S.F.,kWh/m²GIA/yr,retrofit-in-one-go
2034,Homes - Single family homes,65.0,Home S.F.,kWh/m²GIA/yr,retrofit-in-one-go
2035,Homes - Single family homes,64.0,Home S.F.,kWh/m²GIA/yr,retrofit-in-one-go
2036,Homes - Single family homes,63.0,Home S.F.,kWh/m²GIA/yr,retrofit-in-one-go
2037,Homes - Single family homes,62.0,Home S.F.,kWh/m²GIA/yr,retrofit-in-one-go
2038,Homes - Single family homes,61.0,Home S.F.,kWh/m²GIA/yr,retrofit-in-one-go
2039,Homes - Single family homes,60.0,Home S.F.,kWh/m²GIA/yr,retrofit-in-one-go
2040,Homes - Single family homes,58.0,Home S.F.,kWh/m²GIA/yr,retrofit-in-one-go
2050,Homes - Single family homes,58.0,Home S.F.,kWh/m²GIA/yr,retrofit-in-one-go
2025,Homes - Flats,65.0,Home Flat.,kWh/m²GIA/yr,retrofit-in-one-go
2026,Homes - Flats,65.0,Home Flat.,kWh/m²GIA/yr,retrofit-in-one-go
2027,Homes - Flats,64.0,Home Flat.,kWh/m²GIA/yr,retrofit-in-one-go
2028,Homes - Flats,64.0,Home Flat.,kWh/m²GIA/yr,retrofit-in-one-go
2029,Homes - Flats,63.0,Home Flat.,kWh/m²GIA/yr,retrofit-in-one-go
2030,Homes - Flats,63.0,Home Flat.,kWh/m²GIA/yr,retrofit-in-one-go
2031,Homes - Flats,62.0,Home Flat.,kWh/m²GIA/yr,retrofit-in-one-go
2032,Homes - Flats,62.0,Home Flat.,kWh/m²GIA/yr,retrofit-in-one-go
2033,Homes - Flats,61.0,Home Flat.,kWh/m²GIA/yr,retrofit-in-one-go
2034,Homes - Flats,61.0,Home Flat.,kWh/m²GIA/yr,retrofit-in-one-go
2035,Homes - Flats,60.0,Home Flat.,kWh/m²GIA/yr,retrofit-in-one-go
2036,Homes - Flats,60.0,Home Flat.,kWh/m²GIA/yr,retrofit-in-one-go
2037,Homes - Flats,59.0,Home Flat.,kWh/m²GIA/yr,retrofit-in-one-go
2038,Homes - Flats,59.0,Home Flat.,kWh/m²GIA/yr,retrofit-in-one-go
2039,Homes - Flats,58.0,Home Flat.,kWh/m²GIA/yr,retrofit-in-one-go
2040,Homes - Flats,57.0,Home Flat.,kWh/m²GIA/yr,retrofit-in-one-go
2050,Homes - Flats,57.0,Home Flat.,kWh/m²GIA/yr,retrofit-in-one-go
2025,Hotel,180.0,Hotel,kWh/m²GIA/yr,retrofit-in-one-go
2026,Hotel,176.0,Hotel,kWh/m²GIA/yr,retrofit-in-one-go
2027,Hotel,172.0,Hotel,kWh/m²GIA/yr,retrofit-in-one-go
2028,Hotel,168.0,Hotel,kWh/m²GIA/yr,retrofit-in-one-go
2029,Hotel,164.0,Hotel,kWh/m²GIA/yr,retrofit-in-one-go
2030,Hotel,160.0,Hotel,kWh/m²GIA/yr,retrofit-in-one-go
2031,Hotel,156.0,Hotel,kWh/m²GIA/yr,retrofit-in-one-go
2032,Hotel,152.0,Hotel,kWh/m²GIA/yr,retrofit-in-one-go
2033,Hotel,148.0,Hotel,kWh/m²GIA/yr,retrofit-in-one-go
2034,Hotel,144.0,Hotel,kWh/m²GIA/yr,retrofit-in-one-go
2035,Hotel,140.0,Hotel,kWh/m²GIA/yr,retrofit-in-one-go
2036,Hotel,136.0,Hotel,kWh/m²GIA/yr,retrofit-in-one-go
2037,Hotel,132.0,Hotel,kWh/m²GIA/yr,retrofit-in-one-go
2038,Hotel,128.0,Hotel,kWh/m²GIA/yr,retrofit-in-one-go
2039,Hotel,124.0,Hotel,kWh/m²GIA/yr,retrofit-in-one-go
2040,Hotel,120.0,Hotel,kWh/m²GIA/yr,retrofit-in-one-go
2050,Hotel,120.0,Hotel,kWh/m²GIA/yr,retrofit-in-one-go
2025,Office - General,100.0,Off. Gen. (GIA),kWh/m²GIA/yr,retrofit-in-one-go
2026,Office - General,97.0,Off. Gen. (GIA),kWh/m²GIA/yr,retrofit-in-one-go
2027,Office - General,94.0,Off. Gen. (GIA),kWh/m²GIA/yr,retrofit-in-one-go
2028,Office - General,91.0,Off. Gen. (GIA),kWh/m²GIA/yr,retrofit-in-one-go
2029,Office - General,88.0,Off. Gen. (GIA),kWh/m²GIA/yr,retrofit-in-one-go
2030,Office - General,85.0,Off. Gen. (GIA),kWh/m²GIA/yr,retrofit-in-one-go
2031,Office - General,82.0,Off. Gen. (GIA),kWh/m²GIA/yr,retrofit-in-one-go
2032,Office - General,79.0,Off. Gen. (GIA),kWh/m²GIA/yr,retrofit-in-one-go
2033,Office - General,76.0,Off. Gen. (GIA),kWh/m²GIA/yr,retrofit-in-one-go
2034,Office - General,73.0,Off. Gen. (GIA),kWh/m²GIA/yr,retrofit-in-one-go
2035,Office - General,70.0,Off. Gen. (GIA),kWh/m²GIA/yr,retrofit-in-one-go
2036,Office - General,67.0,Off. Gen. (GIA),kWh/m²GIA/yr,retrofit-in-one-go
2037,Office - General,64.0,Off. Gen. (GIA),kWh/m²GIA/yr,retrofit-in-one-go
2038,Office - General,61.0,Off. Gen. (GIA),kWh/m²GIA/yr,retrofit-in-one-go
2039,Office - General,58.0,Off. Gen. (GIA),kWh/m²GIA/yr,retrofit-in-one-go
2040,Office - General,55.0,Off. Gen. (GIA),kWh/m²GIA/yr,retrofit-in-one-go
2050,Office - General,55.0,Off. Gen. (GIA),kWh/m²GIA/yr,retrofit-in-one-go
2025,Office - General,125.0,Off. Gen. (NIA),kWh/m²NIA/yr,retrofit-in-one-go
2026,Office - General,122.0,Off. Gen. (NIA),kWh/m²NIA/yr,retrofit-in-one-go
2027,Office - General,118.0,Off. Gen. (NIA),kWh/m²NIA/yr,retrofit-in-one-go
2028,Office - General,114.0,Off. Gen. (NIA),kWh/m²NIA/yr,retrofit-in-one-go
2029,Office - General,110.0,Off. Gen. (NIA),kWh/m²NIA/yr,retrofit-in-one-go
2030,Office - General,107.0,Off. Gen. (NIA),kWh/m²NIA/yr,retrofit-in-one-go
2031,Office - General,103.0,Off. Gen. (NIA),kWh/m²NIA/yr,retrofit-in-one-go
2032,Office - General,99.0,Off. Gen. (NIA),kWh/m²NIA/yr,retrofit-in-one-go
2033,Office - General,95.0,Off. Gen. (NIA),kWh/m²NIA/yr,retrofit-in-one-go
2034,Office - General,92.0,Off. Gen. (NIA),kWh/m²NIA/yr,retrofit-in-one-go
2035,Office - General,88.0,Off. Gen. (NIA),kWh/m²NIA/yr,retrofit-in-one-go
2036,Office - General,84.0,Off. Gen. (NIA),kWh/m²NIA/yr,retrofit-in-one-go
2037,Office - General,80.0,Off. Gen. (NIA),kWh/m²NIA/yr,retrofit-in-one-go
2038,Office - General,77.0,Off. Gen. (NIA),kWh/m²NIA/yr,retrofit-in-one-go
2039,Office - General,73.0,Off. Gen. (NIA),kWh/m²NIA/yr,retrofit-in-one-go
2040,Office - General,69.0,Off. Gen. (NIA),kWh/m²NIA/yr,retrofit-in-one-go
2050,Office - General,69.0,Off. Gen. (NIA),kWh/m²NIA/yr,retrofit-in-one-go
2025,Office - Call Centre,191.0,Off. Call Cen. (GIA),kWh/m²GIA/yr,retrofit-in-one-go
2026,Office - Call Centre,187.0,Off. Call Cen. (GIA),kWh/m²GIA/yr,retrofit-in-one-go
2027,Office - Call Centre,183.0,Off. Call Cen. (GIA),kWh/m²GIA/yr,retrofit-in-one-go
2028,Office - Call Centre,179.0,Off. Call Cen. (GIA),kWh/m²GIA/yr,retrofit-in-one-go
2029,Office - Call Centre,174.0,Off. Call Cen. (GIA),kWh/m²GIA/yr,retrofit-in-one-go
2030,Office - Call Centre,170.0,Off. Call Cen. (GIA),kWh/m²GIA/yr,retrofit-in-one-go
2031,Office - Call Centre,166.0,Off. Call Cen. (GIA),kWh/m²GIA/yr,retrofit-in-one-go
2032,Office - Call Centre,162.0,Off. Call Cen. (GIA),kWh/m²GIA/yr,retrofit-in-one-go
2033,Office - Call Centre,157.0,Off. Call Cen. (GIA),kWh/m²GIA/yr,retrofit-in-one-go
2034,Office - Call Centre,153.0,Off. Call Cen. (GIA),kWh/m²GIA/yr,retrofit-in-one-go
2035,Office - Call Centre,149.0,Off. Call Cen. (GIA),kWh/m²GIA/yr,retrofit-in-one-go
2036,Office - Call Centre,145.0,Off. Call Cen. (GIA),kWh/m²GIA/yr,retrofit-in-one-go
